{0: 0.005718}
{1: 0.006066}
{2: 0.008022}
{3: 0.006065}
{4: 0.005824}
{5: 0.006931}
{6: 0.012100}
{7: 0.009475}
{8: 0.010593}
{9: 0.004868}
{10: 0.004998}
{11: 0.009216}
{12: 0.007934}
{13: 0.005397}
{14: 0.015336}
{15: 0.015138}
{16: 0.009399}
{17: 0.011505}
{18: 0.007663}
{19: 0.016291}
{20: 0.019005}
{21: 0.010504}
{22: 0.010175}
{23: 0.015355}
{24: 0.032661}
{25: 0.011877}
{26: 0.016765}
{27: 0.005783}
{28: 0.005228}
{29: 0.007480}
{30: 0.004391}
{31: 0.006569}
{32: 0.008638}
{33: 0.005419}
{34: 0.005944}
{35: 0.011958}
{36: 0.004540}
{37: 0.006757}
{38: 0.011949}
{39: 0.004728}
{40: 0.006249}
{41: 0.010141}
{42: 0.013977}
{43: 0.006433}
{44: 0.011625}
{45: 0.006348}
{46: 0.010775}
{47: 0.010219}
{48: 0.006734}
{49: 0.017324}
{50: 0.010862}
{51: 0.023777}
{52: 0.005629}
{53: 0.009995}
{54: 0.005781}
{55: 0.005257}
{56: 0.006923}
{57: 0.005721}
{58: 0.005765}
{59: 0.006568}
{60: 0.008195}
{61: 0.008067}
{62: 0.009115}
{63: 0.005231}
{64: 0.005486}
{65: 0.007587}
{66: 0.006321}
{67: 0.004461}
{68: 0.009602}
{69: 0.007290}
{70: 0.007226}
{71: 0.011055}
{72: 0.006713}
{73: 0.011560}
{74: 0.007527}
{75: 0.007098}
{76: 0.014516}
{77: 0.012520}
{78: 0.015416}
{79: 0.008043}
{80: 0.032157}
{81: 0.005992}
{82: 0.005164}
{83: 0.006330}
{84: 0.006004}
{85: 0.004913}
{86: 0.006374}
{87: 0.017372}
{88: 0.015923}
{89: 0.009511}
{90: 0.005257}
{91: 0.004777}
{92: 0.006909}
{93: 0.005338}
{94: 0.003682}
{95: 0.009348}
{96: 0.004630}
{97: 0.015356}
{98: 0.017766}
{99: 0.007939}
{100: 0.018979}
{101: 0.011599}
{102: 0.010737}
{103: 0.011093}
{104: 0.016604}
{105: 0.008856}
{106: 0.002932}
{107: 0.021635}
{108: 0.005565}
{109: 0.006298}
{110: 0.006099}
{111: 0.005083}
{112: 0.006308}
{113: 0.005587}
{114: 0.000000}
{115: 0.010117}
{116: 0.000000}
{117: 0.005529}
{118: 0.006134}
{119: 0.007541}
{120: 0.004617}
{121: 0.005900}
{122: 0.011732}
{123: 0.008618}
{124: 0.001835}
{125: 0.009237}
{126: 0.005533}
{127: 0.015493}
{128: 0.010940}
{129: 0.013862}
